user_id,stage_index,character_health,character_attack,event_date
13357580,10,4.81120024964911e+41,8.28951252803601e+100,2023-10-29
13357580,10,4.81120024964911e+41,8.28951252803601e+100,2023-10-29
12465913,10,6.71306366272628e+96,2.56026218657738e+96,2023-10-03
12465913,10,6.71306366272628e+96,2.56026218657738e+96,2023-10-03
13357580,11,4.81120024964911e+41,8.28951252803601e+100,2023-10-29
13357580,11,4.81120024964911e+41,8.28951252803601e+100,2023-10-29
12465913,11,6.71306366272628e+96,2.56026218657738e+96,2023-10-03
12465913,11,6.71306366272628e+96,2.56026218657738e+96,2023-10-03
13357580,12,2.55049757663232e+42,3.80900453736173e+101,2023-10-29
13357580,12,2.55049757663232e+42,3.80900453736173e+101,2023-10-29
12465913,12,8.12280594530262e+96,2.81628821686622e+96,2023-10-04
12465913,12,8.12280594530262e+96,2.81628821686622e+96,2023-10-04
13256277,13,4.56172917068157e+31,1.29687845206969e+30,2023-10-25
13256277,13,4.56172917068157e+31,1.29687845206969e+30,2023-10-25
12927055,14,9.44277685481884e+43,1.0515913039325e+43,2023-10-17
12927055,14,9.44277685481884e+43,1.0515913039325e+43,2023-10-17
13256277,15,6.29258431800527e+32,3.27977892408169e+30,2023-10-25
13256277,15,2.94220282525977e+32,1.60836444306955e+30,2023-10-25
13256277,15,6.29258431800527e+32,3.27977892408169e+30,2023-10-25
13256277,15,2.94220282525977e+32,1.60836444306955e+30,2023-10-25
13256277,16,9.70060853388938e+30,2.51735246236623e+30,2023-10-25
13256277,16,9.70060853388938e+30,3943.0,2023-10-25
13256277,16,9.70060853388938e+30,1.60836444306955e+30,2023-10-25
13256277,16,9.70060853388938e+30,2.51735246236623e+30,2023-10-25
13256277,16,9.70060853388938e+30,3943.0,2023-10-25
13256277,16,9.70060853388938e+30,1.60836444306955e+30,2023-10-25
12927055,16,94144554.0,5.60573476064e+92,2023-10-18
12927055,16,94144554.0,5.60573476064e+92,2023-10-18
13256277,17,9.70060853388938e+30,1.60836444306955e+30,2023-10-25
13256277,17,9.70060853388938e+30,1.60836444306955e+30,2023-10-25
12927055,17,27490256.0,5.60573476064e+92,2023-10-18
12927055,17,27490256.0,5.60573476064e+92,2023-10-18
13256277,18,9.70060853388938e+30,1.60836444306955e+30,2023-10-25
13256277,18,9.70060853388938e+30,1.60836444306955e+30,2023-10-25
12927055,18,27490256.0,5.60573476064e+92,2023-10-18
12927055,18,27490256.0,5.60573476064e+92,2023-10-18
13256277,19,1.06706686735651e+31,1.85555335870649e+30,2023-10-25
13256277,19,1.06706686735651e+31,1.85555335870649e+30,2023-10-25
12927055,19,31715223.0,9.40056936003453e+32,2023-10-19
12927055,19,31715223.0,9.40056936003453e+32,2023-10-19
12520806,20,3.21559935103723e+49,1.59429595762548e+49,2023-10-05
12520806,20,3.21559935103723e+49,1.59429595762548e+49,2023-10-05
12520806,21,6.93551035121233e+49,3.12602740280922e+49,2023-10-05
12520806,21,6.93551035121233e+49,3.12602740280922e+49,2023-10-05
12520806,22,6.93551035121233e+49,3.12602740280922e+49,2023-10-05
