user_id,stage_index,currency_change_amount,event_date
12927055,1,87699872,2023-10-19
12927055,1,87699872,2023-10-19
12927055,1,87699872,2023-10-19
12927055,1,87699872,2023-10-19
12927055,1,87699872,2023-10-19
12927055,1,87699872,2023-10-19
12927055,1,87699872,2023-10-19
12927055,1,87699872,2023-10-19
12927055,1,87699872,2023-10-19
12927055,1,87699872,2023-10-19
12927055,1,87699872,2023-10-19
12927055,1,87699872,2023-10-19
12927055,1,87699872,2023-10-19
12927055,1,87699872,2023-10-19
12927055,1,87699872,2023-10-19
12927055,1,87699872,2023-10-19
12927055,1,87699872,2023-10-19
12927055,1,87699872,2023-10-19
12927055,1,87699872,2023-10-19
12927055,1,87699872,2023-10-19
12927055,1,87699872,2023-10-19
12927055,1,87699872,2023-10-19
12927055,1,87699872,2023-10-19
12927055,1,87699872,2023-10-19
12927055,1,87699872,2023-10-19
12927055,1,87699872,2023-10-19
12927055,1,87699872,2023-10-19
12927055,1,87699872,2023-10-19
12927055,1,87699872,2023-10-19
12927055,1,87699872,2023-10-19
12927055,1,87699872,2023-10-19
12927055,1,87699872,2023-10-19
12927055,1,87699872,2023-10-19
12927055,1,87699872,2023-10-19
12927055,1,87699872,2023-10-19
12927055,1,87699872,2023-10-19
12927055,1,87699872,2023-10-19
12927055,1,87699872,2023-10-19
12927055,1,87699872,2023-10-19
13053892,1,87699872,2023-10-19
13053892,1,87699872,2023-10-19
13053892,1,87699872,2023-10-19
13053892,1,87699872,2023-10-19
13053892,1,87699872,2023-10-19
13053892,1,87699872,2023-10-19
13053892,1,87699872,2023-10-19
13053892,1,87699872,2023-10-19
13053892,1,87699872,2023-10-19
13053892,1,87699872,2023-10-19
13053892,1,87699872,2023-10-19
13053892,1,87699872,2023-10-19
13053892,1,87699872,2023-10-19
13053892,1,87699872,2023-10-19
13053892,1,87699872,2023-10-19
13053892,1,87699872,2023-10-19
13053892,1,87699872,2023-10-19
13053892,1,87699872,2023-10-19
13053892,1,87699872,2023-10-19
13053892,1,87699872,2023-10-19
13053892,1,87699872,2023-10-19
13053892,1,87699872,2023-10-19
13053892,1,87699872,2023-10-19
13053892,1,87699872,2023-10-19
13053892,1,87699872,2023-10-19
13053892,1,87699872,2023-10-19
12925406,1,2100000000,2023-10-18
12925406,1,2100000000,2023-10-18
12925406,1,2100000000,2023-10-18
12925406,1,2100000000,2023-10-18
12925406,1,2100000000,2023-10-18
12925406,1,2100000000,2023-10-18
12925406,1,2100000000,2023-10-18
12925406,1,2100000000,2023-10-18
12925406,1,2100000000,2023-10-18
12925406,1,2100000000,2023-10-18
12925406,1,2100000000,2023-10-18
12925406,1,2100000000,2023-10-18
12925406,1,2100000000,2023-10-18
13005000,1,2100000000,2023-10-18
13005000,1,2100000000,2023-10-18
13005000,1,2100000000,2023-10-18
13005000,1,2100000000,2023-10-18
13005000,1,2100000000,2023-10-18
13005000,1,2100000000,2023-10-18
13005000,1,2100000000,2023-10-18
13005000,1,2100000000,2023-10-18
13005000,1,2100000000,2023-10-18
13005000,1,2100000000,2023-10-18
13005000,1,2100000000,2023-10-18
13005000,1,2100000000,2023-10-18
13005000,1,2100000000,2023-10-18
13005000,1,2100000000,2023-10-18
13005000,1,2100000000,2023-10-18
13005000,1,2100000000,2023-10-18
12997605,1,1000000000,2023-10-18
12997605,1,1000000000,2023-10-18
12997605,1,1000000000,2023-10-18
12997605,1,1000000000,2023-10-18
12997605,1,1000000000,2023-10-18
12997605,1,1000000000,2023-10-18
12997605,1,1000000000,2023-10-18
12997605,1,1000000000,2023-10-18
12997605,1,1000000000,2023-10-18
12997605,1,1000000000,2023-10-18
12997605,1,1000000000,2023-10-18
12997605,1,1000000000,2023-10-18
12997605,1,1000000000,2023-10-18
12927055,1,87699872,2023-10-18
12927055,1,87699872,2023-10-18
12927055,1,87699872,2023-10-18
12927055,1,87699872,2023-10-18
12927055,1,87699872,2023-10-18
12927055,1,87699872,2023-10-18
12927055,1,87699872,2023-10-18
12927055,1,87699872,2023-10-18
12927055,1,87699872,2023-10-18
12927055,1,87699872,2023-10-18
12927055,1,87699872,2023-10-18
12927055,1,87699872,2023-10-18
12927055,1,87699872,2023-10-18
12927055,1,87699872,2023-10-18
12927055,1,87699872,2023-10-18
12927055,1,87699872,2023-10-18
12927055,1,87699872,2023-10-18
12927055,1,87699872,2023-10-18
12927055,1,87699872,2023-10-18
12927055,1,87699872,2023-10-18
12927055,1,87699872,2023-10-18
12927055,1,87699872,2023-10-18
12927055,1,87699872,2023-10-18
12927055,1,87699872,2023-10-18
12927055,1,87699872,2023-10-18
12927055,1,87699872,2023-10-18
12927055,1,87699872,2023-10-18
12927055,1,87699872,2023-10-18
12927055,1,87699872,2023-10-18
12927055,1,87699872,2023-10-18
12927055,1,87699872,2023-10-18
12927055,1,87699872,2023-10-18
12927055,1,87699872,2023-10-18
12927055,1,87699872,2023-10-18
12927055,1,87699872,2023-10-18
12927055,1,87699872,2023-10-18
12927055,1,87699872,2023-10-18
12927055,1,87699872,2023-10-18
12927055,1,87699872,2023-10-18
12505795,1,1000000000,2023-10-03
12505795,1,1000000000,2023-10-03
12505795,1,1000000000,2023-10-03
12505795,1,1000000000,2023-10-03
12505795,1,1000000000,2023-10-03
12505795,1,1000000000,2023-10-03
12505795,1,1000000000,2023-10-03
12505795,1,1000000000,2023-10-03
12505795,1,1000000000,2023-10-03
12505795,1,1000000000,2023-10-03
12505795,1,1000000000,2023-10-03
12505795,1,1000000000,2023-10-03
12505795,1,1000000000,2023-10-03
12505795,1,1000000000,2023-10-03
12505795,1,1000000000,2023-10-03
12505795,1,1000000000,2023-10-03
12505795,1,1000000000,2023-10-03
12505795,1,1000000000,2023-10-03
12505795,1,1000000000,2023-10-03
12505795,1,1000000000,2023-10-03
12505795,1,1000000000,2023-10-03
12505795,1,1000000000,2023-10-03
12505795,1,1000000000,2023-10-03
12505795,1,1000000000,2023-10-03
12518018,1,100000000,2023-10-04
12518018,1,100000000,2023-10-04
12518018,1,100000000,2023-10-04
12518018,1,100000000,2023-10-04
12518018,1,100000000,2023-10-04
12518018,1,100000000,2023-10-04
12518018,1,100000000,2023-10-04
12518018,1,100000000,2023-10-04
12518018,1,100000000,2023-10-04
12518018,1,100000000,2023-10-04
12518018,1,100000000,2023-10-04
12518018,1,100000000,2023-10-04
12518018,1,100000000,2023-10-04
12518018,1,100000000,2023-10-04
12518018,1,100000000,2023-10-04
12518018,1,100000000,2023-10-04
12518018,1,100000000,2023-10-04
12518018,1,100000000,2023-10-04
12518018,1,100000000,2023-10-04
12518018,1,100000000,2023-10-04
12518018,1,100000000,2023-10-04
12454744,1,1000000000,2023-10-01
12454744,1,1000000000,2023-10-01
12454744,1,1000000000,2023-10-01
12454744,1,1000000000,2023-10-01
12454744,1,1000000000,2023-10-01
12454744,1,1000000000,2023-10-01
12454744,1,1000000000,2023-10-01
12454744,1,1000000000,2023-10-01
12454744,1,1000000000,2023-10-01
12454744,1,1000000000,2023-10-01
12454744,1,1000000000,2023-10-01
12454744,1,1000000000,2023-10-01
12454744,1,1000000000,2023-10-01
12454744,1,1000000000,2023-10-01
12454744,1,1000000000,2023-10-01
12454744,1,1000000000,2023-10-01
12454744,1,1000000000,2023-10-01
12454744,1,1000000000,2023-10-01
12454744,1,1000000000,2023-10-01
12454744,1,1000000000,2023-10-01
12454744,1,1000000000,2023-10-01
12454744,1,1000000000,2023-10-01
12454744,1,1000000000,2023-10-01
12454744,1,1000000000,2023-10-01
